process,name,timestamp,running_time,idle_time,uart_transmit_calls,uart_receive_calls,i2c_read_calls,i2d_write_calls,spi_transfer_calls,gpio_interrupt_calls,adc_read_calls,sleep_calls
0,network,1002,1002,0,259,260,0,0,518,0,0,66563
0,gcode_parser,1502,1418,84,160,160,0,0,0,0,0,160
1,stepper,1502,90,1412,0,0,0,0,17,17,0,17
2,status_led,1502,0,1502,0,0,0,0,0,2,0,1
0,status_led,2002,14,1988,0,0,0,0,0,1,0,1
1,network,2002,1623,379,128,129,0,0,257,0,0,32914
2,temp_monitor,2002,8,1994,4,0,0,0,0,0,5,4
3,stepper,2002,21,1981,0,0,0,0,11,11,0,11
4,power,2002,336,1666,128,129,0,0,257,0,0,32913
0,safety,2502,2502,0,0,0,0,0,0,70396,23465,23465
0,power,3002,3002,0,783,784,0,0,1566,0,0,201231
0,temp_monitor,3502,17,3485,7,0,0,0,0,0,8,7
1,safety,3502,2266,1236,0,0,0,0,0,19377,6459,6459
2,power,3502,770,2732,218,218,0,0,436,0,0,56026
3,status_led,3502,0,3502,0,0,0,0,0,1,0,1
4,network,3502,454,3048,218,218,0,0,436,0,0,56026
0,stepper,4002,3457,545,0,0,0,0,66,66,0,66
1,temp_monitor,4002,545,3457,26,0,0,0,0,0,27,26
0,status_led,4502,13,4489,0,0,0,0,0,2,0,2
1,stepper,4502,5,4497,0,0,0,0,31,31,0,31
2,safety,4502,3155,1347,0,0,0,0,0,33204,11067,11067
3,network,4502,1329,3173,373,374,0,0,747,0,0,96035
0,safety,5002,3544,1458,0,0,0,0,0,37209,12403,12403
1,network,5002,1451,3551,418,419,0,0,837,0,0,107666
2,stepper,5002,4,4998,0,0,0,0,35,35,0,35
3,temp_monitor,5002,3,4999,13,0,0,0,0,0,14,13
0,stepper,5502,5502,0,0,0,0,0,179,180,0,179
0,stepper,6002,6002,0,0,0,0,0,195,196,0,195
0,safety,6502,4501,2001,0,0,0,0,0,39312,13104,13104
1,gcode_parser,6502,135,6367,358,358,0,0,0,0,0,358
2,temp_monitor,6502,2,6500,14,0,0,0,0,0,15,14
3,status_led,6502,0,6502,0,0,0,0,0,2,0,2
4,network,6502,1876,4626,442,442,0,0,884,0,0,113594
0,stepper,7002,82,6920,0,0,0,0,94,94,0,94
1,power,7002,6920,82,1140,1141,0,0,2281,0,0,293106
0,power,7502,7502,0,1962,1963,0,0,3924,0,0,504234
0,gcode_parser,8002,1272,6730,746,746,0,0,0,0,0,746
1,temp_monitor,8002,43,7959,29,0,0,0,0,0,30,29
2,network,8002,6687,1315,922,922,0,0,1844,0,0,236954
0,stepper,8502,19,8483,0,0,0,0,73,73,0,73
1,network,8502,2762,5740,884,884,0,0,1768,0,0,227188
2,safety,8502,5725,2777,0,0,0,0,0,78634,26211,26211
0,gcode_parser,9002,9002,0,2779,2781,0,0,0,0,0,2779
0,gcode_parser,9502,1456,8046,700,700,0,0,0,0,0,700
1,stepper,9502,106,9396,0,0,0,0,71,71,0,71
2,power,9502,7890,1612,864,865,0,0,1729,0,0,222195
3,temp_monitor,9502,50,9452,28,0,0,0,0,0,29,28
0,gcode_parser,10002,1426,8576,1257,1257,0,0,0,0,0,1257
1,network,10002,8576,1426,1551,1552,0,0,3103,0,0,398835
0,gcode_parser,10502,10502,0,3243,3244,0,0,0,0,0,3243
0,power,11002,11002,0,2878,2880,0,0,5757,0,0,739895
0,stepper,11502,60,11442,0,0,0,0,78,78,0,78
1,power,11502,3330,8172,948,948,0,0,1896,0,0,243636
2,gcode_parser,11502,247,11255,768,768,0,0,0,0,0,768
3,safety,11502,7905,3597,0,0,0,0,0,84313,28104,28104
0,safety,12002,8076,3926,0,0,0,0,0,110925,36975,36975
1,temp_monitor,12002,13,11989,40,0,0,0,0,0,41,40
2,power,12002,3913,8089,1247,1247,0,0,2494,0,0,320479
0,network,12502,2386,10116,781,781,0,0,1562,0,0,200716
1,temp_monitor,12502,8,12494,25,0,0,0,0,0,26,25
2,safety,12502,7523,4979,0,0,0,0,0,69426,23142,23142
3,status_led,12502,2678,9824,0,0,0,0,0,3,0,3
4,power,12502,2584,9918,781,781,0,0,1562,0,0,200716
0,temp_monitor,13002,25,12977,29,0,0,0,0,0,30,29
1,status_led,13002,0,13002,0,0,0,0,0,3,0,3
2,safety,13002,9362,3640,0,0,0,0,0,80094,26697,26697
3,power,13002,3604,9398,901,901,0,0,1801,0,0,231556
4,stepper,13002,11,12991,0,0,0,0,74,74,0,74
0,stepper,13502,13118,384,0,0,0,0,221,221,0,221
1,status_led,13502,1641,11861,0,0,0,0,0,10,0,9
0,safety,14002,9100,4902,0,0,0,0,0,78306,26102,26102
1,temp_monitor,14002,317,13685,28,0,0,0,0,0,29,28
2,power,14002,3303,10699,880,881,0,0,1761,0,0,226298
3,network,14002,1596,12406,880,881,0,0,1761,0,0,226298
4,status_led,14002,0,14002,0,0,0,0,0,3,0,3
0,temp_monitor,14502,31,14471,32,0,0,0,0,0,33,32
1,safety,14502,10023,4479,0,0,0,0,0,87783,29261,29260
2,gcode_parser,14502,276,14226,799,799,0,0,0,0,0,799
3,status_led,14502,985,13517,0,0,0,0,0,4,0,4
4,power,14502,4171,10331,987,987,0,0,1974,0,0,253659
0,power,15002,15002,0,3926,3928,0,0,7853,0,0,1009142
0,temp_monitor,15502,15502,0,200,0,0,0,0,0,202,200
0,network,16002,12420,3582,1571,1572,0,0,3143,0,0,403760
1,stepper,16002,184,15818,0,0,0,0,129,129,0,129
2,power,16002,3398,12604,1571,1572,0,0,3143,0,0,403760
0,gcode_parser,16502,2532,13970,1216,1216,0,0,0,0,0,1216
1,temp_monitor,16502,101,16401,48,0,0,0,0,0,49,48
2,power,16502,13678,2824,1502,1502,0,0,3003,0,0,386013
3,stepper,16502,191,16311,0,0,0,0,123,124,0,123
0,stepper,17002,32,16970,0,0,0,0,95,95,0,95
1,safety,17002,11763,5239,0,0,0,0,0,102912,34304,34304
2,gcode_parser,17002,327,16675,937,937,0,0,0,0,0,937
3,temp_monitor,17002,12,16990,37,0,0,0,0,0,38,37
4,power,17002,4872,12130,1157,1157,0,0,2314,0,0,297349
0,power,17502,12565,4937,1360,1360,0,0,2720,0,0,349520
1,network,17502,2443,15059,1360,1360,0,0,2720,0,0,349520
2,stepper,17502,325,17177,0,0,0,0,111,111,0,111
3,gcode_parser,17502,2303,15199,1101,1101,0,0,0,0,0,1101
0,gcode_parser,18002,492,17510,1104,1104,0,0,0,0,0,1104
1,temp_monitor,18002,22,17980,44,0,0,0,0,0,45,44
2,safety,18002,17463,539,0,0,0,0,0,121317,40439,40439
3,stepper,18002,54,17948,0,0,0,0,112,112,0,112
4,status_led,18002,1,18001,0,0,0,0,0,5,0,5
0,safety,18502,12076,6426,0,0,0,0,0,104370,34790,34789
1,stepper,18502,12,18490,0,0,0,0,96,96,0,96
2,status_led,18502,2,18500,0,0,0,0,0,4,0,4
3,network,18502,4307,14195,1173,1174,0,0,2347,0,0,301546
4,power,18502,2105,16397,1173,1174,0,0,2347,0,0,301546
0,temp_monitor,19002,27,18975,46,0,0,0,0,0,47,46
1,power,19002,4531,14471,1422,1423,0,0,2845,0,0,365657
2,network,19002,2494,16508,1422,1423,0,0,2845,0,0,365657
3,safety,19002,11950,7052,0,0,0,0,0,126529,42176,42176
0,safety,19502,13591,5911,0,0,0,0,0,118230,39410,39410
1,temp_monitor,19502,15,19487,43,0,0,0,0,0,44,43
2,network,19502,5561,13941,1329,1329,0,0,2658,0,0,341553
3,status_led,19502,1,19501,0,0,0,0,0,5,0,5
4,gcode_parser,19502,342,19160,1076,1076,0,0,0,0,0,1076
0,stepper,20002,33,19969,0,0,0,0,136,136,0,136
1,temp_monitor,20002,17,19985,54,0,0,0,0,0,55,54
2,network,20002,5986,14016,1662,1662,0,0,3324,0,0,427134
3,safety,20002,13966,6036,0,0,0,0,0,147853,49284,49284
0,network,20502,4015,16487,1598,1599,0,0,3197,0,0,410766
1,stepper,20502,204,20298,0,0,0,0,131,131,0,131
2,gcode_parser,20502,2595,17907,1294,1294,0,0,0,0,0,1294
3,power,20502,13688,6814,1598,1599,0,0,3197,0,0,410767
0,temp_monitor,21002,339,20663,78,0,0,0,0,0,79,78
1,gcode_parser,21002,3320,17682,1960,1960,0,0,0,0,0,1960
2,network,21002,17553,3449,2421,2421,0,0,4842,0,0,622197
0,status_led,21502,21502,0,0,0,0,0,0,29,0,28
0,network,22002,18880,3122,3416,3416,0,0,6832,0,0,877912
1,gcode_parser,22002,3122,18880,2766,2767,0,0,0,0,0,2766
0,stepper,22502,36,22466,0,0,0,0,124,124,0,124
1,gcode_parser,22502,455,22047,1229,1229,0,0,0,0,0,1229
2,temp_monitor,22502,15,22487,49,0,0,0,0,0,50,49
3,power,22502,6435,16067,1518,1518,0,0,3036,0,0,390126
4,safety,22502,15561,6941,0,0,0,0,0,135011,45003,45003
0,status_led,23002,14,22988,0,0,0,0,0,7,0,7
1,gcode_parser,23002,497,22505,1536,1536,0,0,0,0,0,1536
2,network,23002,6766,16236,1897,1897,0,0,3794,0,0,487529
3,safety,23002,15725,7277,0,0,0,0,0,168714,56238,56238
0,stepper,23502,1167,22335,0,0,0,0,378,378,0,378
1,gcode_parser,23502,22335,1167,3746,3746,0,0,0,0,0,3746
0,network,24002,17741,6261,3129,3129,0,0,6258,0,0,804153
1,power,24002,6261,17741,3129,3129,0,0,6258,0,0,804153
0,power,24502,24502,0,6415,6417,0,0,12830,0,0,1648655
0,temp_monitor,25002,194,24808,56,0,0,0,0,0,57,56
1,safety,25002,17914,7088,0,0,0,0,0,154098,51366,51366
2,status_led,25002,1,25001,0,0,0,0,0,6,0,6
3,power,25002,7035,17967,1732,1733,0,0,3465,0,0,445185
4,stepper,25002,21,24981,0,0,0,0,142,142,0,142
0,stepper,25502,25502,0,0,0,0,0,829,830,0,829
0,temp_monitor,26002,175,25827,135,0,0,0,0,0,136,135
1,power,26002,25827,175,4161,4162,0,0,8322,0,0,1069377
0,power,26502,9323,17179,3805,3806,0,0,7611,0,0,977892
1,safety,26502,17179,9323,0,0,0,0,0,338518,112839,112839
0,power,27002,7766,19236,2227,2227,0,0,4454,0,0,572339
1,gcode_parser,27002,583,26419,1803,1803,0,0,0,0,0,1803
2,temp_monitor,27002,20,26982,72,0,0,0,0,0,73,72
3,safety,27002,18634,8368,0,0,0,0,0,198082,66027,66027
0,gcode_parser,27502,27502,0,8499,8500,0,0,0,0,0,8499
0,safety,28002,18829,9173,0,0,0,0,0,258978,86326,86326
1,temp_monitor,28002,25,27977,94,0,0,0,0,0,95,94
2,network,28002,9148,18854,2911,2912,0,0,5822,0,0,748127
0,power,28502,9098,19404,3002,3002,0,0,6004,0,0,771514
1,safety,28502,19387,9115,0,0,0,0,0,267048,89016,89016
2,temp_monitor,28502,19,28483,97,0,0,0,0,0,98,97
0,power,29002,28786,216,3413,3413,0,0,6826,0,0,877141
